warid	warname	statenum	stateacr	sdate1	edate1	sdate2	edate2	newcow	cow94	cow00	oldwid	deaths	intnl	outcome
ECW2.1-1865	Second Guatemala	90	GUA	1970-11-15	1971-9-15	NA	NA	CW-781	CW-877	CW-678	1865	1000	0	1
ECW2.1-1870	Pakistan-Bengal	770	PAK	1971-3-25	1971-12-2	NA	NA	CW-782	CW-880	CW-679	1870	5e+05	0	4
ECW2.1-1875	First Sri Lanka-JVP	780	SRI	1971-4-6	1971-5-16	NA	NA	CW-783	CW-883	CW-680	1875	4053	0	1
ECW2.1-1880	Khmer Rouge	2	USA	1971-7-3	1973-8-15	NA	NA	CW-785	CW-871	CW-675	1855	500	1	2
ECW2.1-1880	Khmer Rouge	811	CAM	1971-7-3	1975-4-17	NA	NA	CW-785	CW-871	CW-675	1855	85000	1	2
ECW2.1-1885	Communist Insurgency	800	THI	1972-1-1	1973-10-15	NA	NA	CW-787	NA	CW-674	1850	2200	0	6
ECW2.1-1890	First Philippine-Moro	840	PHI	1972-1-1	1981-4-19	NA	NA	CW-786	IW-439	CW-682	1880	30000	0	1
ECW2.1-1900	First Burundi	516	BUI	1972-4-29	1972-5-25	NA	NA	CW-789	CW-886	CW-683	1885	2000	0	1
ECW2.1-1905	Philippines-NPA	840	PHI	1972-10-1	1992-12-31	NA	NA	CW-790	CW-889	CW-684	1890	31000	0	6
ECW2.1-1910	Rhodesia	552	ZIM	1972-12-28	1979-12-28	NA	NA	CW-791	CW-892	CW-685	1895	11000	0	2
ECW2.1-1915	Baluchi Separatists	770	PAK	1973-1-23	1977-7-15	NA	NA	CW-792	CW-893	CW-687	1900	8600	0	1
ECW2.1-1920	Chilean Coup of 1973	155	CHL	1973-9-11	1973-9-15	NA	NA	CW-793	NA	CW-688	1905	3400	0	2
ECW2.1-1925	Dhofar Rebellion	200	UKG	1968-09-01	1975-12-11	NA	NA	CW-795/NS-1577	NA	NA	NA	7870	1	1
ECW2.1-1925	Dhofar Rebellion	630	IRN	1968-09-01	1975-12-11	NA	NA	CW-795/NS-1577	NA	NA	NA	7870	1	1
ECW2.1-1925	Dhofar Rebellion	698	OMA	1968-09-01	1975-12-11	NA	NA	CW-795/NS-1577	NA	NA	NA	7870	1	1
ECW2.1-1930	Fourth Iraqi Kurds	630	IRN	1974-3-18	1975-3-6	NA	NA	CW-797	IW-443	CW-690	NA	NA	1	1
ECW2.1-1930	Fourth Iraqi Kurds	645	IRQ	1974-3-18	1975-4-3	NA	NA	CW-797	IW-443	CW-690	1915	20000	1	1
ECW2.1-1935	Eritrean War	530	ETH	1975-1-31	1978-12-15	NA	NA	CW-798	IW-442	CW-689	1910	12500	1	1
ECW2.1-1935	Eritrean War	40	CUB	1976-12-5	1978-12-15	NA	NA	CW-798	IW-442	CW-689	1910	6000	1	1
ECW2.1-1940	Argentine Leftists	160	ARG	1975-2-1	1977-3-15	NA	NA	CW-800	NA	NA	NA	2850	0	1
ECW2.1-1955	Namibian	560	SAF	1975-10-17	1988-12-13	NA	NA	ES-473	NA	ES-440	5400	20100	NA	2
ECW2.1-1960	Western Saharan	435	MAA	1975-12-11	1979-8-5	NA	NA	ES-474	IW-448	ES-441	5395	2000	NA	7
ECW2.1-1960	Western Saharan	600	MOR	1975-12-11	1983-12-23	NA	NA	ES-474	IW-448	ES-441	5395	13500	NA	7
ECW2.1-1960	Western Saharan	615	ALG	1976-1-27	1976-3-6	NA	NA	ES-474	IW-448	ES-441	NA	NA	NA	7
ECW2.1-1965	Second West Papua	850	INS	1976-1-1	1978-4-14	NA	NA	CW-802	NA	NA	NA	2100	0	6
ECW2.1-1970	Third Laotian	816	DRV	1976-1-1	1979-5-15	NA	NA	CW-803	NA	NA	NA	NA	1	1
ECW2.1-1970	Third Laotian	812	LAO	1976-4-1	1979-5-15	NA	NA	CW-803	NA	NA	NA	6000	1	1
ECW2.1-1975	Angolan Control	40	CUB	1976-2-13	1991-5-15	NA	NA	CW-804	CW-898	CW-693	1925	4000	1	3
ECW2.1-1975	Angolan Control	540	ANG	1976-2-13	1991-5-15	NA	NA	CW-804	CW-898	CW-693	1925	341000	1	3
ECW2.1-1975	Angolan Control	560	SAF	1976-2-13	1989-6-15	NA	NA	CW-804	CW-898	CW-693	1925	800	1	3
ECW2.1-1980	Second Ogaden Phase 1	40	CUB	1976-7-1	1977-7-22	NA	NA	CW-805	IW-451	CW-694	1930	1500	1	4
ECW2.1-1980	Second Ogaden Phase 1	520	SOM	1976-7-1	1977-7-22	NA	NA	CW-805	IW-451	CW-694	1930	1900	1	4
ECW2.1-1980	Second Ogaden Phase 1	530	ETH	1976-7-1	1977-7-22	NA	NA	CW-805	IW-451	CW-694	1930	29000	1	4
ECW2.1-1985	East Timorese War Phase 3	850	INS	1976-7-18	1979-5-26	NA	NA	CW-806	IW-445	ES-439	5390	NA	0	1
ECW2.1-1995	Second Ogaden Phase 3	40	CUB	1978-3-10	1980-12-3	NA	NA	CW-808	NA	NA	NA	NA	1	1
ECW2.1-1995	Second Ogaden Phase 3	530	ETH	1978-3-10	1980-12-3	NA	NA	CW-808	NA	NA	NA	22000	1	1
ECW2.1-1995	Second Ogaden Phase 3	520	SOM	1980-11-22	1980-12-3	NA	NA	CW-808	NA	NA	NA	NA	1	1
ECW2.1-2000	Third Guatemala	90	GUA	1978-3-12	1984-4-13	NA	NA	CW-809	CW-900	CW-695	1935	6000	0	1
ECW2.1-2005	Saur Revolution	700	AFG	1978-4-27	1978-4-28	NA	NA	CW-810	NA	NA	NA	3000	0	2
ECW2.1-2010	Fourth DRC (Shaba)	490	DRC	1978-5-1	1978-6-6	NA	NA	CW-811	NA	NA	NA	1000	1	1
ECW2.1-2010	Fourth DRC (Shaba)	220	FRN	1978-5-18	1978-6-6	NA	NA	CW-811	NA	NA	NA	NA	1	1
ECW2.1-2010	Fourth DRC (Shaba)	211	BEL	1978-5-20	1978-6-6	NA	NA	CW-811	NA	NA	NA	NA	1	1
ECW2.1-2015	First Afghan Mujahideen Uprising	700	AFG	1978-9-1	1980-2-21	NA	NA	CW-812	CW-901	CW-698	1945	33000	1	4
ECW2.1-2015	First Afghan Mujahideen Uprising	365	RUS	1979-3-15	1980-2-21	NA	NA	CW-812	CW-901	CW-698	1945	NA	1	4
ECW2.1-2020	Overthrow of the Shah	630	IRN	1978-9-3	1979-2-11	NA	NA	CW-813	CW-904	CW-699	1950	1100	0	2
ECW2.1-2025	Sandinista Rebellion	93	NIC	1978-9-9	1979-7-18	NA	NA	CW-815	CW-907	CW-700	1955	4000	0	2
ECW2.1-2030	Khmer Insurgency	811	CAM	1979-1-9	1989-9-25	NA	NA	ES-475	CW-908	CW-702	1960	15000	NA	4
ECW2.1-2030	Khmer Insurgency	816	DRV	1979-1-9	1989-9-25	NA	NA	ES-475	CW-908	CW-702	1960	25300	NA	4
ECW2.1-2035	Anti-Khomeini Coalition	630	IRN	1979-2-12	1984-3-15	NA	NA	CW-816	CW-922	CW-709	1990	14000	0	1
ECW2.1-2040	El Salvador	92	SAL	1979-7-1	1992-2-1	NA	NA	CW-817	CW-910	CW-703	1965	25000	0	3
ECW2.1-2045	Mozambique	541	MZM	1979-10-21	1992-10-4	NA	NA	CW-818	CW-913	CW-704	1970	2e+05	1	1
ECW2.1-2045	Mozambique	552	ZIM	1982-1-1	1992-10-4	NA	NA	CW-818	CW-913	CW-704	1970	500	1	1
ECW2.1-2045	Mozambique	510	TAZ	1985-1-1	1992-10-4	NA	NA	CW-818	CW-913	CW-704	1970	50	1	1
ECW2.1-2050	Soviet Quagmire	365	RUS	1980-2-22	1989-2-15	NA	NA	ES-476	CW-901	CW-698	1945	90000	NA	4
ECW2.1-2050	Soviet Quagmire	700	AFG	1980-2-22	1989-2-15	NA	NA	ES-476	CW-901	CW-698	1945	NA	NA	4
ECW2.1-2055	Second Chad (Habre Revolt)	483	CHA	1980-3-22	1984-9-15	NA	NA	CW-820	CW-916	CW-705	1975	5000	1	2
ECW2.1-2055	Second Chad (Habre Revolt)	620	LIB	1980-12-1	1981-10-15	1983-6-1	1984-9-15	CW-820	CW-916	CW-705	NA	NA	1	2
ECW2.1-2055	Second Chad (Habre Revolt)	220	FRN	1983-8-9	1984-9-15	NA	NA	CW-820	CW-916	CW-705	NA	NA	1	2
ECW2.1-2060	Second Uganda	500	UGA	1980-12-8	1986-3-19	NA	NA	CW-822	CW-919	CW-708	1985	46000	0	2
ECW2.1-2065	Nigeria-Muslim	475	NIG	1980-12-18	1981-1-1	NA	NA	CW-823	CW-917	CW-707	1980	1050	0	1
ECW2.1-2070	Hama	652	SYR	1981-11-1	1982-2-23	NA	NA	CW-825	NA	NA	NA	3000	0	1
ECW2.1-2075	Tigrean and Eritrean	530	ETH	1982-1-23	1991-5-28	NA	NA	CW-826	NA	NA	NA	75000	0	2
ECW2.1-2080	Shining Path	135	PER	1982-3-4	1992-9-12	NA	NA	CW-827	CW-925	CW-710	1995	16000	0	1
ECW2.1-2085	Contra War	93	NIC	1982-3-18	1990-4-19	NA	NA	CW-828	CW-928	CW-712	2000	32200	0	6
ECW2.1-2090	Matabeleland	552	ZIM	1983-1-1	1987-12-27	NA	NA	CW-831	NA	NA	NA	10000	0	1
ECW2.1-2095	Fourth Burmese	775	MYA	1983-2-1	1988-1-15	NA	NA	CW-832	CW-933	CW-714	2010	4000	0	1
ECW2.1-2100	Fourth Lebanese Civil	2	USA	1983-4-18	1984-2-29	NA	NA	CW-833	NA	NA	NA	273	1	2
ECW2.1-2100	Fourth Lebanese Civil	220	FRN	1983-4-18	1984-2-29	NA	NA	CW-833	NA	NA	NA	95	1	2
ECW2.1-2100	Fourth Lebanese Civil	660	LEB	1983-4-18	1984-2-29	NA	NA	CW-833	NA	NA	NA	2000	1	2
ECW2.1-2105	First Sri Lanka Tamil	780	SRI	1983-7-25	2002-2-22	NA	NA	CW-835	CW-934	CW-715	2015	25500	1	3
ECW2.1-2105	First Sri Lanka Tamil	750	IND	1987-7-25	1990-5-24	NA	NA	CW-835	CW-934	CW-715	2015	900	1	3
ECW2.1-2110	Second South Sudan	625	SUD	1983-11-17	1991-8-27	1992-4-15	2005-1-10	CW-836	CW-937	CW-717	2020	1300000	0	3
ECW2.1-2115	Indian Golden Temple	750	IND	1984-6-1	1984-7-30	NA	NA	CW-837	NA	NA	NA	1900	0	6
ECW2.1-2120	First Turkish Kurds	640	TUR	1984-8-14	1986-3-15	NA	NA	CW-838	NA	NA	NA	10500	0	7
ECW2.1-2125	Fifth Iraqi  Kurds	630	IRN	1985-1-1	1988-7-17	NA	NA	CW-840	CW-941	CW-720	NA	NA	1	1
ECW2.1-2125	Fifth Iraqi  Kurds	645	IRQ	1985-1-1	1988-9-6	NA	NA	CW-840	CW-941	CW-720	2035	10000	1	1
ECW2.1-2130	South Yemen	680	YPR	1986-1-13	1986-1-29	NA	NA	CW-842	CW-943	CW-723	2045	13000	0	2
ECW2.1-2135	Holy Spirit Movement	500	UGA	1986-8-1	1987-10-15	NA	NA	CW-843	CW-919	CW-708	1985	7000	0	1
ECW2.1-2140	Second Sri Lanka-JVP	780	SRI	1987-7-29	1989-12-29	NA	NA	CW-845	NA	NA	NA	NA	0	1
ECW2.1-2150	Fifth Burmese	775	MYA	1988-3-1	1988-10-3	NA	NA	CW-847	CW-933	CW-714	2010	3000	0	1
ECW2.1-2155	First Somalia	520	SOM	1988-5-26	1991-1-26	NA	NA	CW-848	CW-931	CW-713	2005	95000	0	2
ECW2.1-2160	Fifth Lebanese	652	SYR	1989-2-1	1990-10-13	NA	NA	CW-850	CW-895	CW-691	NA	150	1	2
ECW2.1-2160	Fifth Lebanese	660	LEB	1989-2-1	1990-10-13	NA	NA	CW-850	CW-895	CW-691	1920	2650	1	2
ECW2.1-2165	Second Afghan Mujahideen Uprising	700	AFG	1989-2-16	2001-10-6	NA	NA	CW-851	CW-901	CW-698	1945	15000	0	4
ECW2.1-2170	Third Chad (Deby Coup)	483	CHA	1989-3-1	1990-12-4	NA	NA	CW-852	NA	NA	NA	3800	0	2
ECW2.1-2175	First Aceh	850	INS	1989-6-1	1991-6-15	NA	NA	CW-853	NA	NA	NA	2000	0	1
ECW2.1-2180	Bougainville Secession	910	PNG	1989-7-14	1992-9-15	NA	NA	CW-854	NA	NA	NA	3000	0	7
ECW2.1-2185	Eighth Colombia	100	COL	1989-8-19	2010-12-31	NA	NA	CW-856	CW-940	CW-719	2030	28161	0	5
ECW2.1-2190	First Cambodian Civil War	811	CAM	1989-9-26	1991-10-23	NA	NA	CW-857	CW-908	CW-702	1960	15000	0	3
ECW2.1-2195	Romania	360	RUM	1989-12-18	1989-12-26	NA	NA	CW-858	CW-950	CW-728	2060	1000	0	2
ECW2.1-2200	First Liberia	450	LBR	1989-12-24	1990-11-28	NA	NA	CW-860	CW-949	CW-727	2055	10000	1	7
ECW2.1-2200	First Liberia	475	NIG	1990-11-1	1990-11-28	NA	NA	CW-860	CW-949	CW-727	2055	NA	1	7
ECW2.1-2205	Kashmir Insurgents	750	IND	1990-9-19	2005-10-8	NA	NA	CW-861	CW-942	CW-722	2040	27700	0	7
ECW2.1-2210	Shiite and Kurdish	645	IRQ	1991-3-1	1991-3-31	NA	NA	CW-862	CW-941	CW-720	2035	10000	0	1
ECW2.1-2215	First Sierra Leone	451	SIE	1991-3-23	1996-4-23	NA	NA	CW-863	NA	CW-730	2075	20000	0	1
ECW2.1-2220	Croatian Independence	345	SER	1991-5-2	1992-1-2	NA	NA	CW-864	CW-964	CW-733	2080	NA	0	2
ECW2.1-2225	Second Turkish Kurds	640	TUR	1991-7-10	1999-2-16	NA	NA	CW-865	CW-967	CW-734	2085	16500	0	6
ECW2.1-2230	First PKK in Iraq	640	TUR	1991-8-4	1992-3-25	NA	NA	ES-477	CW-967	CW-734	2085	2300	NA	6
ECW2.1-2245	Second Somalia	520	SOM	1991-11-1	1997-1-15	NA	NA	CW-870	CW-931	CW-713	2005	95000	1	3
ECW2.1-2245	Second Somalia	2	USA	1992-12-13	1994-3-25	NA	NA	CW-870	CW-931	CW-713	2005	18	1	3
ECW2.1-2245	Second Somalia	220	FRN	1992-12-13	1995-3-1	NA	NA	CW-870	CW-931	CW-713	2005	NA	1	3
ECW2.1-2245	Second Somalia	325	ITA	1992-12-13	1995-3-1	NA	NA	CW-870	CW-931	CW-713	2005	NA	1	3
ECW2.1-2245	Second Somalia	475	NIG	1992-12-13	1995-3-1	NA	NA	CW-870	CW-931	CW-713	2005	NA	1	3
ECW2.1-2245	Second Somalia	770	PAK	1992-12-13	1995-3-1	NA	NA	CW-870	CW-931	CW-713	2005	NA	1	3
ECW2.1-2245	Second Somalia	900	AUL	1992-12-13	1995-3-1	NA	NA	CW-870	CW-931	CW-713	2005	NA	1	3
ECW2.1-2250	Georgia	372	GRG	1991-12-26	1992-3-15	NA	NA	CW-871	CW-955	CW-736	2095	5000	0	2
ECW2.1-2255	Dniestrian Independence	359	MLD	1991-12-26	1992-7-2	NA	NA	CW-873	NA	NA	NA	1000	0	3
ECW2.1-2260	Nagorno-Karabakh	371	ARM	1991-12-26	1993-2-5	NA	NA	CW-872	IW-214	CW-737	NA	NA	1	4
ECW2.1-2260	Nagorno-Karabakh	373	AZE	1991-12-26	1993-2-5	NA	NA	CW-872	IW-214	CW-737	2100	10000	1	4
ECW2.1-2265	Algerian Islamic Front	615	ALG	1992-2-7	1999-6-15	NA	NA	CW-875	NA	CW-739	2110	80000	0	3
ECW2.1-2270	Tajikistan	702	TAJ	1992-5-1	1997-6-27	NA	NA	CW-876	NA	NA	NA	20000	1	3
ECW2.1-2270	Tajikistan	365	RUS	1993-3-1	1997-6-27	NA	NA	CW-876	NA	NA	NA	NA	1	3
ECW2.1-2275	Bosnian-Serb Rebellion	346	BOS	1992-6-6	1994-12-31	1995-3-20	1995-12-14	CW-877	CW-973	CW-738	2105	46043	1	1
ECW2.1-2275	Bosnian-Serb Rebellion	344	CRO	1992-10-19	1994-2-22	NA	NA	CW-877	CW-973	CW-738	NA	NA	1	1
ECW2.1-2275	Bosnian-Serb Rebellion	344	CRO	1994-2-23	1994-12-31	1995-3-20	1995-12-14	CW-877	CW-973	CW-738	NA	NA	1	1
ECW2.1-2275	Bosnian-Serb Rebellion	2	USA	1995-8-30	1995-9-20	NA	NA	CW-877	CW-973	CW-738	NA	NA	1	1
ECW2.1-2280	Second Liberia	450	LBR	1992-10-15	1995-8-19	NA	NA	CW-878	CW-979	CW-742	2120	150000	1	3
ECW2.1-2280	Second Liberia	475	NIG	1992-10-15	1992-12-31	NA	NA	CW-878	CW-979	CW-742	2120	NA	1	3
ECW2.1-2285	Angolan War of the Cities	540	ANG	1992-10-28	1994-11-15	NA	NA	CW-880	CW-982	CW-743	2125	1e+05	0	3
ECW2.1-2290	Second Cambodia Civil	811	CAM	1993-1-29	1997-7-1	NA	NA	CW-881	NA	CW-747	2140	15000	0	1
ECW2.1-2295	Abkhazia Revolt	372	GRG	1993-8-18	1994-4-14	NA	NA	CW-882	CW-955	CW-736	2095	8000	0	2
ECW2.1-2300	Second Burundi	516	BUI	1993-10-21	1998-6-15	NA	NA	CW-883	NA	CW-745	2135	2e+05	0	7
ECW2.1-2305	South Yemeni Secessionist	679	YEM	1994-2-21	1994-7-7	NA	NA	CW-885	NA	NA	NA	7000	0	1
ECW2.1-2310	Second Rwanda	517	RWA	1994-4-6	1994-7-18	NA	NA	CW-886	NA	CW-749	2150	5e+05	0	2
ECW2.1-2315	First Chechnya	365	RUS	1994-12-11	1996-8-31	NA	NA	CW-888	NA	CW-748	2145	10000	0	2
ECW2.1-2325	Croatia-Krajina War	344	CRO	1995-5-1	1995-11-15	NA	NA	CW-891	NA	NA	NA	NA	0	1
ECW2.1-2330	Third Liberia	450	LBR	1996-4-5	1996-8-20	NA	NA	CW-892	NA	CW-754	2170	3000	0	3
ECW2.1-2335	Sixth Iraqi Kurds	645	IRQ	1996-8-31	1996-10-23	NA	NA	CW-893	NA	CW-756	2175	1500	0	6
ECW2.1-2340	Fifth DRC	490	DRC	1996-10-8	1997-5-17	NA	NA	CW-895	NA	CW-757	2180	1000	1	2
ECW2.1-2340	Fifth DRC	500	UGA	1997-1-1	1997-1-30	NA	NA	CW-895	NA	CW-757	NA	NA	1	2
ECW2.1-2340	Fifth DRC	517	RWA	1997-1-1	1997-5-17	NA	NA	CW-895	NA	CW-757	NA	NA	1	2
ECW2.1-2340	Fifth DRC	540	ANG	1997-4-28	1997-5-17	NA	NA	CW-895	NA	CW-757	NA	NA	1	2
ECW2.1-2345	Third Rwanda	517	RWA	1997-3-17	1998-10-30	NA	NA	CW-896	NA	NA	2195	3300	0	1
ECW2.1-2350	Second PKK in Iraq	640	TUR	1997-5-14	1997-6-14	NA	NA	ES-479	CW-967	CW-734	2085	2600	NA	6
ECW2.1-2355	First Congo (Brazzaville)	484	CON	1997-6-5	1997-10-15	NA	NA	CW-897	NA	CW-760	2185	4000	1	2
ECW2.1-2355	First Congo (Brazzaville)	540	ANG	1997-10-10	1997-10-15	NA	NA	CW-897	NA	CW-760	NA	NA	1	2
ECW2.1-2360	Second Sierra Leone	438	GUI	1998-2-6	1999-7-7	2000-5-11	2000-11-10	CW-898	NA	NA	NA	NA	1	2
ECW2.1-2360	Second Sierra Leone	451	SIE	1998-2-6	1999-7-7	2000-5-11	2000-11-10	CW-898	NA	NA	2205	10525	1	2
ECW2.1-2360	Second Sierra Leone	452	GHA	1998-2-6	1999-7-7	2000-5-11	2000-11-10	CW-898	NA	NA	NA	NA	1	2
ECW2.1-2360	Second Sierra Leone	475	NIG	1998-2-6	1999-7-7	2000-5-11	2000-11-10	CW-898	NA	NA	NA	NA	1	2
ECW2.1-2360	Second Sierra Leone	200	UKG	2000-5-8	2000-11-10	NA	NA	CW-898	NA	NA	NA	NA	1	2
ECW2.1-2365	Kosovo Independence	345	SER	1998-2-28	1999-3-23	NA	NA	CW-900	NA	NA	NA	1200	0	4
ECW2.1-2370	Guinea-Bissau Military	404	GNB	1998-6-7	1999-5-6	NA	NA	CW-902	NA	NA	2190	2000	1	2
ECW2.1-2370	Guinea-Bissau Military	433	SEN	1998-6-9	1998-11-1	NA	NA	CW-902	NA	NA	NA	NA	1	2
ECW2.1-2370	Guinea-Bissau Military	438	GUI	1998-6-9	1998-11-1	NA	NA	CW-902	NA	NA	NA	NA	1	2
ECW2.1-2375	Africa's World War	490	DRC	1998-8-2	2002-12-17	NA	NA	CW-905	NA	CW-757	2180	1000	1	3
ECW2.1-2375	Africa's World War	517	RWA	1998-8-11	2002-7-22	NA	NA	CW-905	NA	CW-757	2180	NA	1	3
ECW2.1-2375	Africa's World War	552	ZIM	1998-8-21	2002-9-13	NA	NA	CW-905	NA	CW-757	2180	NA	1	3
ECW2.1-2375	Africa's World War	540	ANG	1998-8-24	2002-11-4	NA	NA	CW-905	NA	CW-757	2180	NA	1	3
ECW2.1-2375	Africa's World War	500	UGA	1998-8-26	2002-7-22	NA	NA	CW-905	NA	CW-757	2180	NA	1	3
ECW2.1-2375	Africa's World War	565	NAM	1998-8-28	2001-8-4	NA	NA	CW-905	NA	CW-757	2180	NA	1	3
ECW2.1-2375	Africa's World War	516	BUI	1998-9-17	2002-7-22	NA	NA	CW-905	NA	CW-757	2180	NA	1	3
ECW2.1-2375	Africa's World War	625	SUD	1998-9-17	2002-7-22	NA	NA	CW-905	NA	CW-757	2180	NA	1	3
ECW2.1-2375	Africa's World War	483	CHA	1998-9-30	1999-4-18	NA	NA	CW-905	NA	CW-757	2180	NA	1	3
ECW2.1-2380	Fourth Chad (Togoimi Revolt)	483	CHA	1998-10-16	2000-4-28	NA	NA	CW-906	NA	NA	NA	1500	0	7
ECW2.1-2385	Third Angolan	540	ANG	1998-12-4	2002-2-22	NA	NA	CW-907	NA	NA	NA	16000	0	1
ECW2.1-2390	Second Congo (Brazzaville)	484	CON	1998-12-15	1999-11-16	NA	NA	CW-908	NA	CW-760	2185	4000	0	1
ECW2.1-2405	Second Aceh	850	INS	1999-5-3	2002-12-9	NA	NA	CW-912	NA	NA	NA	3830	0	3
ECW2.1-2410	Oromo Liberation	530	ETH	1999-5-30	1999-8-18	NA	NA	CW-913	NA	NA	NA	1000	0	1
ECW2.1-2415	Second Chechen	365	RUS	1999-8-7	2003-10-3	NA	NA	CW-915	NA	NA	NA	20000	0	1
ECW2.1-2420	Second Philippine-Moro	840	PHI	2000-4-23	2001-6-22	NA	NA	CW-916	NA	NA	NA	2700	0	3
ECW2.1-2425	Guinean	438	GUI	2000-9-11	2001-4-15	NA	NA	CW-917	NA	NA	NA	NA	0	6
ECW2.1-2430	Al Aqsa Intifada	666	ISR	2000-9-28	2003-9-9	NA	NA	ES-480	NA	NA	NA	4300	NA	1
ECW2.1-2435	Third Burundi	516	BUI	2001-3-21	2003-10-8	NA	NA	CW-918	NA	NA	NA	3150	0	3
ECW2.1-2440	Fourth Rwanda	517	RWA	2001-5-21	2001-9-4	NA	NA	CW-920	NA	NA	2210	1800	0	1
ECW2.1-2445	First Nepal Maoist Insurgency	790	NEP	2001-11-23	2003-1-29	NA	NA	CW-921	NA	NA	NA	3780	0	6
ECW2.1-2450	Afghan Resistance	2	USA	2001-12-23	2003-12-31	NA	NA	ES-481	NA	NA	2240	12552	NA	5
ECW2.1-2450	Afghan Resistance	20	CAN	2001-12-23	2003-12-31	NA	NA	ES-481	NA	NA	2240	NA	NA	5
ECW2.1-2450	Afghan Resistance	200	UKG	2001-12-23	2003-12-31	NA	NA	ES-481	NA	NA	2240	NA	NA	5
ECW2.1-2450	Afghan Resistance	220	FRN	2001-12-23	2003-12-31	NA	NA	ES-481	NA	NA	2240	NA	NA	5
ECW2.1-2450	Afghan Resistance	255	GMY	2001-12-23	2003-12-31	NA	NA	ES-481	NA	NA	2240	NA	NA	5
ECW2.1-2450	Afghan Resistance	700	AFG	2001-12-23	2003-12-31	NA	NA	ES-481	NA	NA	2240	NA	NA	5
ECW2.1-2450	Afghan Resistance	900	AUL	2001-12-23	2003-12-31	NA	NA	ES-481	NA	NA	2240	NA	NA	5
ECW2.1-2455	Fourth Liberian	450	LBR	2002-2-1	2003-8-11	NA	NA	CW-922	NA	NA	2225	3000	0	2
ECW2.1-2465	Cote d'Ivoire Military	437	CDI	2002-9-19	2004-11-16	NA	NA	CW-925	NA	NA	NA	2700	1	2
ECW2.1-2465	Cote d'Ivoire Military	220	FRN	2002-12-11	2004-11-16	NA	NA	CW-925	NA	NA	NA	NA	1	2
ECW2.1-2470	Third Philippine-Moro	840	PHI	2003-2-11	2003-7-15	NA	NA	CW-926	NA	NA	NA	1000	0	7
ECW2.1-2475	Darfur	625	SUD	2003-2-26	2006-12-11	NA	NA	CW-927	NA	NA	NA	NA	0	6
ECW2.1-2480	Iraqi Resistance	2	USA	2003-5-3	2010-12-31	NA	NA	ES-482	NA	NA	2235	23985	NA	5
ECW2.1-2480	Iraqi Resistance	200	UKG	2003-5-3	2010-12-31	NA	NA	ES-482	NA	NA	2235	NA	NA	5
ECW2.1-2480	Iraqi Resistance	900	AUL	2003-5-3	2010-12-31	NA	NA	ES-482	NA	NA	2235	NA	NA	5
ECW2.1-2480	Iraqi Resistance	210	NTH	2004-3-1	2010-12-31	NA	NA	ES-482	NA	NA	2235	NA	NA	5
ECW2.1-2480	Iraqi Resistance	230	SPN	2004-3-1	2010-12-31	NA	NA	ES-482	NA	NA	2235	NA	NA	5
ECW2.1-2480	Iraqi Resistance	290	POL	2004-3-1	2010-12-31	NA	NA	ES-482	NA	NA	2235	NA	NA	5
ECW2.1-2480	Iraqi Resistance	325	ITA	2004-3-1	2010-12-31	NA	NA	ES-482	NA	NA	2235	NA	NA	5
ECW2.1-2480	Iraqi Resistance	369	UKR	2004-3-1	2010-12-31	NA	NA	ES-482	NA	NA	2235	NA	NA	5
ECW2.1-2480	Iraqi Resistance	645	IRQ	2004-6-28	2010-12-31	NA	NA	ES-482	NA	NA	2235	NA	NA	5
ECW2.1-2480	Iraqi Resistance	732	ROK	2004-9-25	2010-12-31	NA	NA	ES-482	NA	NA	2235	NA	NA	5
ECW2.1-2485	Third Aceh	850	INS	2003-5-18	2003-11-18	NA	NA	CW-930	NA	NA	NA	1550	0	1
ECW2.1-2490	Second Nepal Maoists	790	NEP	2003-8-27	2006-4-26	NA	NA	CW-931	NA	NA	2220	7030	0	3
ECW2.1-2495	Waziristan	2	USA	2004-2-20	2006-9-5	NA	NA	CW-932	NA	NA	NA	NA	1	2
ECW2.1-2495	Waziristan	770	PAK	2004-2-20	2006-9-5	NA	NA	CW-932	NA	NA	NA	3000	1	2
ECW2.1-2505	First Yemeni Cleric	679	YEM	2004-6-21	2005-4-8	NA	NA	CW-935	NA	NA	NA	2250	0	1
ECW2.1-2510	Philippine Joint Offensive	840	PHI	2005-1-17	2006-7-11	NA	NA	CW-936	NA	NA	NA	2823	0	7
ECW2.1-2515	Fifth Chad	483	CHA	2005-12-18	2006-12-20	NA	NA	CW-937	NA	NA	NA	1100	0	1
ECW2.1-2520	Third Somalia	520	SOM	2006-3-6	2008-6-1	NA	NA	CW-938	NA	NA	NA	NA	1	1
ECW2.1-2520	Third Somalia	530	ETH	2006-10-9	2008-6-11	NA	NA	CW-938	NA	NA	NA	NA	1	1
ECW2.1-2520	Third Somalia	531	ERI	2006-10-19	2008-6-11	NA	NA	CW-938	NA	NA	NA	NA	1	1
ECW2.1-2520	Third Somalia	2	USA	2007-1-7	2007-6-3	NA	NA	CW-938	NA	NA	NA	NA	1	1
ECW2.1-2525	Second Sri Lanka Tamil	780	SRI	2006-10-11	2009-5-19	NA	NA	CW-940	CW-934	CW-715	2015	NA	0	5
ECW2.1-2530	Somalia	520	SOM	2006-10-24	2010-12-31	NA	NA	NA	NA	NA	NA	6701	NA	5
